


,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,

,Delta Report (Road Wise Summary),,,,,,,,,,,,,,,,,,


,,Details of Road Projects,,,,,Total Length (km),Balance Length (Kms),,Annual Target (Kms),,Target for Remaining Months (Kms),Target for Current Month (Kms),Progress in this FY (Kms),Progress in Current Month (Kms),Financial Expenditure (Cumulative) (In Lakhs),"Financial Expenditure 
(This FY)
(In Lakhs)","Financial Expenditure 
(This Month)
(In Lakhs)",Road Status
Sr No.,,Scheme,Name of the Road,Package_ID,District,Block,,,,,,,,,,,,,
71,,PMGSY-I,NH-80 Chimni Bhatta  to Damodarpur,BR1904,Lakhisarai,Lakhisarai,1,1,,1,,1.000,0,0,0,0.00,0.00,0.00,-
72,,PMGSY-I,Kamarpur  - Barahiya,BR-19R-037,Lakhisarai,Barahiya,6.491,6.491,,6.491,,6.491,0,0,0,0.00,0.00,0.00,-
73,,PMGSY-I,KHUTHA PURBI  - MALPUR,BR-19R-038,Lakhisarai,Barahiya,5.151,5.151,,5.151,,5.151,0,0,0,0.00,0.00,0.00,-
74,,PMGSY-I,Olipur pakar - Laldiyara PMGSY road ,BR-19R-066,Lakhisarai,Piparia,4.381,4.381,,4.381,,4.381,0,0,0,0.00,0.00,0.00,-
75,,PMGSY-I,Suryagarha pul - Walipur pakar,BR-19R-067,Lakhisarai,Piparia,9.467,9.467,,9.467,,9.467,0,0,0,0.00,0.00,0.00,-
76,,PMGSY-I,Murwariya - Ram nagar,BR-19R-072,Lakhisarai,Piparia,2.963,2.963,,2.963,,2.963,0,0,0,0.00,0.00,0.00,-
77,,PMGSY-I,T03 L003 - Balhua,BR-19R-076,Lakhisarai,Piparia,0.787,0.787,,0.787,,0.787,0,0,0,0.00,0.00,0.00,-
78,,PMGSY-I,T03 L001 - Pawai,BR-19R-077,Lakhisarai,Piparia,0.835,0.835,,0.835,,0.835,0,0,0,0.00,0.00,0.00,-
79,,PMGSY-I,Walipur chhotki Ganga  - Golapar,BR-19R-080,Lakhisarai,Piparia,1.952,1.952,,1.952,,1.952,0,0,0,0.00,0.00,0.00,-
80,,PMGSY-I,L023-T01 TO Rajganj (VR2) ,BR20R190,Madhepura,Bihari Ganj,1.184,0,,0,,0.000,0,0,0,34.90,34.90,0.00,-
81,,PMGSY-I,Bisfi - Singhia,BR-21R-181,Madhubani,Bisfi,7.703,0.384,,1.203,,0.384,0,0.819,0,0.00,0.00,0.00,-
